,Unnamed: 0,Unnamed: 1,z,y,x,z_corr,y_corr,x_corr,r,theta,phi,phi_bin,theta_bin,d_i,d_o
0,0,1934293,290,451,50,-222.4970383407348,-54.8848223392565,-303.3012918930616,380.1433275195164,2.196043570641392,-2.9625718489699797,1,6,78.30708780180757,7.280109889280518
1,0,1934627,290,520,47,-222.4970383407348,-10.0348223392565,-305.2512918930616,377.86767648498585,2.2003977227282565,-3.1087305164688632,1,6,75.7099729229908,11.357816691600547
2,0,1923113,289,476,47,-223.4970383407348,-38.6348223392565,-305.2512918930616,380.2918968984862,2.199007828119312,-3.015694800818185,1,6,78.19207120929845,7.615773105863909
3,0,1934516,290,493,44,-222.4970383407348,-27.5848223392565,-307.2012918930616,380.3136708490148,2.1957202854738367,-3.052038861755347,1,6,79.52986860293433,7.211102550927978
4,0,1912333,288,455,49,-224.4970383407348,-52.2848223392565,-303.9512918930616,381.46954100461295,2.2000057949653957,-2.9712427007079314,1,6,79.01898506055365,6.324555320336759
5,1,1891955,286,531,60,-226.4970383407348,-2.884822339256499,-296.8012918930616,373.36341203503554,2.2226230498709647,-3.131873250145481,1,7,64.19501538281614,20.0
6,1,1881543,285,495,45,-227.4970383407348,-26.2848223392565,-306.5512918930616,382.6479960753971,2.207481632593372,-3.0560582239166263,1,7,79.58014827832379,6.164414002968976
7,1,1853276,282,454,63,-230.4970383407348,-52.9348223392565,-294.8512918930616,377.9791851821291,2.2266223412903625,-2.9639544442897807,1,7,67.63135367564367,15.7797338380595
8,1,1891284,286,469,53,-226.4970383407348,-43.1848223392565,-301.3512918930616,379.4449082320313,2.210448973302119,-2.9992577818266555,1,7,73.93240155709809,10.816653826391969
9,1,1923091,289,471,50,-223.4970383407348,-41.8848223392565,-303.3012918930616,379.07378985294025,2.2013439420338003,-3.00436418592492,1,7,75.90783885739337,9.848857801796104
10,2,1808168,276,476,61,-236.4970383407348,-38.6348223392565,-296.1512918930616,380.9581162425264,2.2405531730214667,-3.01186889079952,1,8,68.70953354520753,14.352700094407323
11,2,1774230,270,469,50,-242.4970383407348,-43.1848223392565,-303.3012918930616,390.7191013356029,2.2403586992570657,-3.0001606953705755,1,8,81.76796438703852,1.4142135623730951
12,2,1764080,268,482,47,-244.4970383407348,-34.7348223392565,-305.2512918930616,392.63680525736953,2.242991798972875,-3.0282890983502795,1,8,83.95236744726142,0.0
13,2,1814809,277,471,77,-235.4970383407348,-41.8848223392565,-285.7512918930616,372.6486203224188,2.254869098761705,-2.9960511782093437,1,8,53.94441583704471,28.231188426986208
14,2,1784222,272,455,60,-240.4970383407348,-52.2848223392565,-296.8012918930616,385.5691053068215,2.244321991317222,-2.967220676194501,1,8,73.60706487831179,8.774964387392123
15,3,1702004,256,517,46,-256.4970383407348,-11.9848223392565,-305.9012918930616,399.3869890543707,2.268196201161293,-3.1024339570619697,1,9,87.36704184073076,4.123105625617661
16,3,1696610,255,495,46,-257.4970383407348,-26.2848223392565,-305.9012918930616,400.7133851289476,2.2686786414057494,-3.0558773624865503,1,9,88.53247991556545,5.830951894845301
17,3,1652933,247,499,45,-265.4970383407348,-23.6848223392565,-306.5512918930616,406.23065214019584,2.2830778556863844,-3.0644836586815654,1,9,92.20086767487604,10.198039027185567
18,3,1707131,257,476,49,-255.4970383407348,-38.6348223392565,-303.9512918930616,398.94582832952887,2.265854872691232,-3.015162043413399,1,9,86.53323061113575,4.123105625617661
19,3,1642066,245,518,49,-267.4970383407348,-11.3348223392565,-303.9512918930616,405.0549735060516,2.292143484350304,-3.1043183510264605,1,9,88.6904729945669,6.708203932499369
20,4,1585381,235,495,51,-277.4970383407348,-26.2848223392565,-302.6512918930616,411.45267365497176,2.310992083286242,-3.0549614888911987,1,10,91.58602513484249,11.180339887498947
21,4,1579745,234,527,53,-278.4970383407348,-5.484822339256499,-301.3512918930616,410.3696927969598,2.3167181428695334,-3.1233939036288985,1,10,89.44271909999159,8.602325267042627
22,4,1550545,229,491,56,-283.4970383407348,-28.8848223392565,-299.4012918930616,413.3352601663361,2.326604114930784,-3.045415030743892,1,10,89.74408058473828,10.295630140987
23,4,1550634,229,512,55,-283.4970383407348,-15.2348223392565,-300.0512918930616,413.07801723932494,2.327191218429893,-3.0908621580152382,1,10,89.74408058473828,9.899494936611664
24,4,1561870,231,454,58,-281.4970383407348,-52.9348223392565,-298.1012918930616,413.4090688881971,2.319809607331522,-2.965851273733713,1,10,90.98351499035417,11.832159566199232
25,5,1497028,220,498,61,-292.4970383407348,-24.3348223392565,-296.1512918930616,416.9559793387232,2.3483045518402865,-3.059606605695279,1,11,88.61715409558128,10.3440804327886
26,5,1478643,217,487,66,-295.4970383407348,-31.4848223392565,-292.9012918930616,417.2540718776807,2.357733940874183,-3.0345108795935927,1,11,86.15103017375938,8.660254037844387
27,5,1538920,227,498,56,-285.4970383407348,-24.3348223392565,-299.4012918930616,414.4175141893118,2.330782762898622,-3.060492645566518,1,11,90.160967164289,10.816653826391969
28,5,1532873,226,458,63,-286.4970383407348,-50.3348223392565,-294.8512918930616,414.18767684341407,2.334648142840196,-2.972510021170476,1,11,88.02840450672726,9.643650760992957
29,5,1544682,228,481,58,-284.4970383407348,-35.3848223392565,-298.1012918930616,413.5879963259845,2.3293542671214253,-3.0234448114690067,1,11,89.12911982062877,10.04987562112089
30,6,1403507,205,489,77,-307.4970383407348,-30.1848223392565,-285.7512918930616,420.8555012192777,2.390066225022545,-3.036349745681905,1,12,81.79242018671412,6.324555320336759
31,6,1459924,214,520,63,-298.4970383407348,-10.0348223392565,-294.8512918930616,419.6885319955478,2.362049392630626,-3.10757228152552,1,12,89.0,10.816653826391969
